OBJECTID,GID,RR_ABRVN,RR_COMPANY,RR_STATUS,RR_TYP,RR_NBR,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,SHAPE_Length,WKT
1541,1688,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0016909771637203625,"MULTILINESTRING ((-95.10399667399997 29.881007168000053, -95.10396799199998 29.880791120000026, -95.10397014899996 29.880591440000046, -95.10400272199996 29.880390427000066, -95.10406535199996 29.880194897000024, -95.10415695499995 29.880008253000028, -95.10427810399995 29.87983098600006, -95.10442019899995 29.879674347000048, -95.10459521599995 29.879524684000046))"
1542,1689,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0020232421708503115,"MULTILINESTRING ((-95.10274325299997 29.87941929200008, -95.10284856199996 29.879538340000067, -95.10399667399997 29.881007168000053))"
1543,1690,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00036975851230938814,"MULTILINESTRING ((-95.10244303699994 29.879204625000057, -95.10260036799997 29.879303245000074, -95.10274325299997 29.87941929200008))"
1544,1691,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0008397614407002491,"MULTILINESTRING ((-95.10162747199996 29.879050806000066, -95.10184597899996 29.879047919000072, -95.10204964099995 29.879071828000065, -95.10224648899998 29.87912329900007, -95.10244303699994 29.879204625000057))"
1545,1692,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.006473334824716454,"MULTILINESTRING ((-95.10860036499997 29.877898806000076, -95.10806692699998 29.87788977300005, -95.10395169599997 29.879414372000042, -95.10380772999997 29.87945575300006, -95.10370029499995 29.87947286700006, -95.10359738299996 29.879479036000077, -95.10348826699999 29.87947487100007, -95.10338637999996 29.879460908000055, -95.10244303699994 29.879204625000057))"
1546,1693,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.005317641016805662,"MULTILINESTRING ((-95.10860036499997 29.877898806000076, -95.10361109699994 29.87973851000004))"
1547,1694,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00038726446337557067,"MULTILINESTRING ((-95.10898757399997 29.877905360000057, -95.10860036499997 29.877898806000076))"
1548,1695,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.004681347991472725,"MULTILINESTRING ((-95.10459521599995 29.879524684000046, -95.10898757399997 29.877905360000057))"
1549,1696,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0012651356075943471,"MULTILINESTRING ((-95.10898757399997 29.877905360000057, -95.109166 29.87783819300006, -95.10929782499994 29.87777866600004, -95.10943415399998 29.877704318000042, -95.10956282499995 29.877620233000073, -95.10968287699995 29.87752697700006, -95.10979755399995 29.87742116900006, -95.10989391199996 29.877315749000047, -95.10999883599999 29.87718201900003))"
1550,1697,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.001696527057813187,"MULTILINESTRING ((-95.10999883599999 29.87718201900003, -95.110623563 29.876134325000066, -95.11069410199997 29.876042789000053, -95.11077386199997 29.87595725500006, -95.11096216799996 29.87580177500007))"
1551,1698,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.020090455033462275,"MULTILINESTRING ((-95.10691473999998 29.87754441900006, -95.10704881299995 29.877379425000072, -95.10723753699995 29.87717022700008, -95.10780502199998 29.87657291100004, -95.10794054599995 29.876457087000063, -95.10802911199994 29.87639980000006, -95.10812386099997 29.876350573000025, -95.10931101099999 29.875824436000073, -95.10948383599998 29.875735792000057, -95.10964049299997 29.875631166000062, -95.10978149699997 29.875510802000065, -95.10990476599994 29.875376493000033, -95.11000853899998 29.875230181000063, -95.110091276 29.87507399800006, -95.11015175599994 29.87491028000005, -95.11018952899997 29.87473863300005, -95.11027919099996 29.874130956000045, -95.11247038199997 29.85927954500005))"
1552,1699,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.014121578722266104,"MULTILINESTRING ((-95.11247038199997 29.85927954500005, -95.11253158199997 29.859514415000035, -95.11257716799997 29.859625711000035, -95.11263124999994 29.85972963100005, -95.11269722699996 29.859832854000047, -95.11277016099996 29.859927579000043, -95.11285475899996 29.860019931000068, -95.11294461199998 29.86010291300005, -95.11304545499996 29.860181864000026, -95.11315359099996 29.86025313300007, -95.11338424999997 29.860369013000025, -95.11350922399998 29.860414828000046, -95.11363817799997 29.86045131000003, -95.11389966599995 29.86049495000003, -95.11406767899996 29.86050292300007, -95.12600335499997 29.86052409800004))"
1553,1700,UP,Union Pacific Railroad Company,Active,Industrial Lead,66,,,,,,0.008301125457187235,"MULTILINESTRING ((-95.05625066299996 29.623321684000075, -95.05660850699996 29.623651233000032, -95.05851736499994 29.62713001000003, -95.05866296999994 29.627417173000026, -95.05879354999996 29.62770980700003, -95.05890461399997 29.627995559000055, -95.05899956599995 29.628279297000063, -95.05908209999996 29.628572339000073, -95.05914876799994 29.62886215900005, -95.05920219499995 29.629160300000024, -95.05924008499994 29.629454059000068, -95.059263634 29.629748946000063, -95.05927429899998 29.630269272000078, -95.05912100799998 29.630829899000048))"
1554,1701,UP,Union Pacific Railroad Company,Active,Industrial Lead,66,,,,,,0.0004857120242143913,"MULTILINESTRING ((-95.05554093499995 29.62266808100003, -95.05589822399998 29.622997111000075))"
1555,1702,UP,Union Pacific Railroad Company,Active,Industrial Lead,66,,,,,,0.00047912512044128374,"MULTILINESTRING ((-95.05589822399998 29.622997111000075, -95.05625066299996 29.623321684000075))"
1556,1703,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00469382828475643,"MULTILINESTRING ((-95.57610458899995 29.87876110600007, -95.57633142699996 29.87844593500006, -95.57641900399994 29.878345790000026, -95.57656578499996 29.87822635200007, -95.57674208899994 29.878131627000073, -95.57688216599996 29.878083140000058, -95.57702888299997 29.878053048000027, -95.57830117299994 29.877917444000047, -95.578401 29.877898875000028, -95.57849621199995 29.87786678300006, -95.57858926899996 29.877818911000077, -95.57893968599996 29.877564224000025, -95.57904077499995 29.87746957300004, -95.57912425099994 29.87736271600005, -95.57918827199995 29.877246084000035, -95.57923133599996 29.877122347000068, -95.57925317599995 29.876983365000058, -95.57929029999997 29.876197329000036))"
